feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target
-0.1503968,-0.43161875,-0.1882731,-0.15740624,-0.14856055,-0.1803773,-0.020786017,-0.043387137,-0.19919088,0.27599236,0.0
-0.10334703,-0.31835592,0.34197757,-0.46268344,-0.070939675,0.044630468,0.25578272,-0.14946467,-0.05955995,0.36252943,0.0
-0.3716838,-0.33534974,-0.21945715,-0.04737515,-0.0150535535,-0.06445888,0.23091513,0.13181977,-0.16585922,0.2548191,0.0
-0.027897581,-0.3352191,-0.13558526,-0.23952618,-0.23881988,-0.12186373,0.08753554,-0.10499646,-0.2571188,0.11053593,0.0
-0.093387306,-0.3695773,-0.27106953,-0.12606056,-0.022672404,-0.102200694,0.31531966,-0.2778492,-0.15150946,0.013220193,2.0
-0.32617274,-0.498326,-0.16222155,-0.020436235,-0.08942127,-0.09008905,0.09721941,0.1652208,-0.081298135,0.30867913,0.0
0.10478443,-0.004258722,0.43711573,-0.24191374,0.038716704,0.1577357,0.58268756,-0.10030851,-0.03611484,0.31314582,0.0
-0.42225382,-0.24696799,-0.2061396,-0.11604079,0.068347156,0.009680465,0.19142786,0.18493001,-0.2593291,0.25626126,0.0
0.2535973,-0.3099841,-0.12410415,-0.26295322,0.06873706,-0.25098264,-0.06376935,-0.023330975,-0.05831874,0.06624737,2.0
-0.26684988,-0.4464575,-0.14150584,-0.15403956,-0.03535638,0.038656816,0.16233167,-0.079386115,-0.08179151,0.3093571,0.0
-0.06279307,-0.5263655,-0.18252638,-0.24114528,-0.038130865,-0.33835274,0.031508546,-0.06447904,0.008060373,0.0709481,2.0
-0.26928562,-0.5614827,-0.035466455,-0.25800475,-0.2043922,-0.029835247,0.1451015,-0.0036536194,0.010615263,0.003076318,0.0
-0.30194125,-0.14326598,-0.05177059,-0.16634494,-0.07694784,-0.021557715,0.33968556,0.03704753,-0.17930356,0.06276205,0.0
-0.003611384,-0.38410383,0.09280021,-0.1346538,0.058523394,-0.1097094,0.13702135,0.04290917,0.0967913,0.058626693,0.0
-0.037368618,-0.3230046,-0.13144921,-0.14865202,-0.10263282,-0.4320234,-0.10189611,-0.015241486,-0.41197369,-0.047820106,2.0
0.1749517,-0.22102714,-0.10161619,-0.32944602,-0.12587789,-0.33294982,0.33354157,-0.12654907,-0.27500007,-0.13907674,2.0
-0.012056382,-0.32061642,-0.27906165,-0.33193812,0.11195131,-0.2558905,-0.0019742306,-0.14470698,-0.33675575,0.1553348,2.0
0.04856704,-0.059005655,0.03090401,-0.2796073,-0.09036734,-0.2010562,0.0814428,-0.022327762,-0.27667326,0.24685031,0.0
0.047347754,-0.41052836,-0.18825564,-0.03753814,-0.11753234,-0.21082307,0.25701982,-0.26773047,0.037504304,0.024015022,2.0
-0.11197055,-0.39916736,-0.2095167,-0.10197763,0.10636549,-0.068468586,0.15126085,-0.14181453,-0.23860452,0.16350451,2.0
-0.53488106,-0.38598084,-0.27584347,-0.08071701,-0.07096878,0.09144351,0.24413806,0.10479218,-0.30374697,0.12619203,0.0
-0.16341916,-0.34226322,-0.39839825,-0.02318858,-0.08469203,-0.17913982,0.16726175,0.023343053,-0.3152528,0.24468401,0.0
-0.11520281,-0.37401468,0.13294351,-0.40219575,-0.025465142,-0.041639686,0.31606787,-0.3473989,-0.16214713,0.16219568,0.0
-0.13323879,-0.2827469,0.107759364,-0.3069621,0.14415477,0.15426971,0.3242798,0.11551385,0.029495701,0.18402097,0.0
0.059226766,-0.22017388,0.110110275,-0.008780746,-0.13631898,-0.0011673346,0.3663925,-0.028877316,0.045108765,0.4723048,0.0
0.03707023,-0.27326524,-0.026851596,-0.12718526,-0.047534183,-0.05467762,0.3221836,-0.1166812,0.032577258,0.07042568,0.0
-0.24286404,-0.45470405,-0.28091016,-0.102875635,0.009069972,-0.19446309,0.01485372,0.22282259,-0.11968311,0.051697273,0.0
0.047945194,-0.24562101,0.07875526,-0.08715213,-0.070683256,-0.1938448,0.25733206,0.08848566,0.13353479,0.00090692705,0.0
-0.31878737,-0.3816749,-0.51024085,0.110479124,-0.21897994,-0.111086875,0.27355272,-0.15646622,-0.39921206,0.29812804,0.0
-0.046680383,-0.370081,-0.12391077,-0.40044722,0.004336048,-0.12886149,0.197244,-0.06258766,-0.03624502,-0.022394853,0.0
-0.041158576,-0.25359833,-0.123397864,-0.08941949,-0.015283829,-0.08351334,0.18999842,-0.0011876728,-0.11863328,0.33722457,0.0
-0.28974378,-0.3552646,-0.18271819,-0.07644682,-0.08980417,0.16569693,0.6190218,-0.15660945,0.04885039,-0.052964255,0.0
-0.36817035,-0.35466993,0.045444883,-0.37967762,-0.15263206,0.3409695,0.4932291,-0.20513077,-0.19770497,0.16627613,0.0
0.1042678,-0.33409357,0.19590679,-0.22222173,-0.072610915,-0.0105346665,0.1732492,-0.031726994,0.13345382,0.26142552,0.0
0.022897009,-0.21579874,-0.008507669,-0.19665366,-0.08917759,-0.06974257,0.2888425,-0.16369277,-0.20312658,0.20192328,0.0
0.123143226,-0.25160882,-0.13815597,-0.1356133,0.025412764,-0.1907249,0.07958318,0.09151949,-0.01419694,0.19011706,0.0
-0.05122535,-0.200883,-0.22835559,-0.046401232,-0.10658045,-0.16335791,0.15681389,0.17443638,-0.27628365,0.20966497,0.0
-0.040707916,-0.56467134,-0.2159881,-0.065062776,-0.026055528,-0.16582197,-0.02530777,-0.13518699,-0.18151611,0.1164999,2.0
-0.35340068,-0.24943155,-0.24714997,0.04032154,0.08204856,-0.03129107,0.27976608,0.16923292,-0.0388795,0.25167915,0.0
0.1597411,-0.16248694,-0.1896025,-0.11869665,0.122512594,-0.20804287,0.32279295,-0.11341196,-0.25329998,0.14045638,2.0
0.08853521,-0.20911272,0.01721152,-0.09457302,-0.02169961,-0.19201836,0.35662967,-0.20200118,-0.118611805,0.17319515,2.0
-0.07825458,-0.69511026,0.02856756,-0.5791218,-0.1694284,-0.0855387,0.0509305,-0.18818143,-0.3853948,0.1284034,0.0
-0.0921191,-0.48812258,-0.121239394,-0.031596795,-0.02926846,-0.2420595,0.14719714,-0.31446183,-0.4777245,0.19443372,2.0
0.0694156,-0.27892977,-0.19471902,-0.1345576,-0.026431676,-0.15580961,0.095590904,0.055000465,-0.07738835,0.17514977,0.0
0.03032881,-0.296995,-0.037541963,-0.13360319,-0.1649023,-0.2132733,0.14252691,-0.155185,-0.18278521,0.23820445,0.0
-0.20136431,-0.3933208,-0.13772807,-0.13842991,0.16329274,-0.1119957,0.047579233,0.0059442744,-0.11219784,0.19236344,2.0
0.0808343,-0.5128789,-0.3715109,-0.17343506,0.21295725,-0.22056584,-0.120371744,-0.07374653,-0.29692006,0.2566823,2.0
-0.22898468,-0.32279736,-0.41770414,-0.06804189,-0.067404345,-0.13026859,0.14830296,-0.012985839,-0.3129588,0.08862947,2.0
0.24667823,-0.19039614,0.08874976,-0.27011573,-0.14801782,-0.26595372,0.0681673,-0.13310906,-0.17275104,0.07981347,2.0
0.12847596,-0.29116982,-0.06165,-0.07126557,-0.017674081,-0.21979104,0.2708419,-0.30403486,-0.23450732,0.13436592,2.0
0.116639905,-0.08447662,0.31726357,-0.4284359,-0.18128806,-0.10087392,0.39803994,-0.19495781,-0.12867016,0.052986685,0.0
0.10755063,-0.27720153,-0.25961474,-0.004431256,-0.10209053,-0.24125703,0.42414623,-0.37663504,-0.23782966,-0.070873424,2.0
0.13747573,-0.24746601,0.17945388,-0.2580809,-0.18510741,-0.28443468,0.2559148,-0.2229424,-0.10591727,0.03706574,2.0
0.11451507,-0.22241753,0.17889854,-0.3147316,-0.051765397,-0.2988417,0.00854256,-0.0057866015,0.03462206,0.20193285,0.0
0.36551693,-0.19000438,-0.13403863,-0.09006273,-0.085051864,-0.37755442,0.2083893,-0.2064362,-0.13942227,-0.17908943,2.0
0.0060846666,-0.21018401,-0.086144,-0.15572903,0.10567193,-0.09114852,0.23539199,-0.05282961,-0.2537439,0.27523255,0.0
-0.0010811035,-0.42570746,0.2561387,-0.45052966,-0.20359008,-0.13261706,0.41992652,-0.4938829,-0.20180437,0.12897414,0.0
-0.28384244,-0.56712526,-0.37033647,-0.17367056,0.07566852,-0.17219532,0.092713244,-0.23284458,-0.12028185,0.024762211,2.0
-0.065104835,-0.3852349,-0.25408655,-0.16742608,0.30386204,-0.14056796,0.17659795,0.005206313,-0.07742364,-0.018839076,2.0
